,precision,recall,f1-score,support
0,0.7439271255060729,0.8323895809739524,0.7856761090326029,883.0
1,0.7412587412587412,0.6262924667651403,0.678943154523619,677.0
accuracy,0.742948717948718,0.742948717948718,0.742948717948718,0.742948717948718
macro avg,0.7425929333824071,0.7293410238695464,0.7323096317781109,1560.0
weighted avg,0.7427691151628399,0.742948717948718,0.7393567435181272,1560.0
