,precision,recall,f1-score,support
"1. threats, plans to harm and incitement",0.0,0.0,0.0,65.0
2. derogation,0.47205882352941175,1.0,0.6413586413586413,321.0
3. animosity,0.0,0.0,0.0,230.0
4. prejudiced discussions,0.0,0.0,0.0,64.0
accuracy,0.47205882352941175,0.47205882352941175,0.47205882352941175,0.47205882352941175
macro avg,0.11801470588235294,0.25,0.16033966033966032,680.0
weighted avg,0.2228395328719723,0.47205882352941175,0.3027590057001821,680.0
