,precision,recall,f1-score,support
"1. threats, plans to harm and incitement",0.2631578947368421,0.15384615384615385,0.1941747572815534,65.0
2. derogation,0.5220994475138122,0.5887850467289719,0.5534407027818449,321.0
3. animosity,0.4266666666666667,0.41739130434782606,0.421978021978022,230.0
4. prejudiced discussions,0.2727272727272727,0.234375,0.25210084033613445,64.0
accuracy,0.45588235294117646,0.45588235294117646,0.45588235294117646,0.45588235294117646
macro avg,0.37116282041114845,0.34859937623073795,0.35542358059438867,680.0
weighted avg,0.441598624408393,0.45588235294117646,0.4462723877246041,680.0
